k_t,M_1_t,M_2_t,M_3_t,tau_1_t,tau_2_t,t,x_t,E_t,V_t,lambda_k_t,lambda_m_1,lambda_m_2,lambda_m_3,lambda_tau_1,lambda_tau_2,lambda_t_BAU,lambda_E_t
7.8669596,1804.0729,3801.7266,10231.192,2.5564127,1.7565548,60.0,0.9462008,14.492887,60.92131,0.041447893,-0.00025318906,-0.006715467,0.0021870201,-0.040453445,-0.03574543,0.07480587,0.0010692261
7.882081,1798.7802,3808.7178,10237.243,2.5540972,1.7656364,61.0,0.94654864,14.508984,60.990852,0.04117003,-1.1487049e-05,-0.0067326603,0.002090144,-0.040615797,-0.03592745,0.07475419,0.0010070028
7.8968663,1793.6156,3814.96,10243.31,2.5518434,1.7745886,62.0,0.9468796,14.524593,61.05819,0.040915098,0.0002074024,-0.006733509,0.0020018322,-0.04077211,-0.036111772,0.07472683,0.0009540103
7.9114094,1788.5797,3820.4946,10249.39,2.5496614,1.7834134,63.0,0.94719625,14.539785,61.12363,0.040687352,0.00040505023,-0.0067184707,0.0019227942,-0.04092405,-0.036299232,0.07472078,0.00090847514
7.9257064,1783.6727,3825.3623,10255.481,2.547557,1.7921134,64.0,0.9474989,14.554573,61.187317,0.040483598,0.0005817459,-0.0066893846,0.0018517891,-0.041071475,-0.03648834,0.074735224,0.0008736331
7.939761,1778.8943,3829.6013,10261.584,2.5455348,1.8006907,65.0,0.9477887,14.568988,61.24928,0.040301785,0.00073936384,-0.0066457866,0.0017890272,-0.0412148,-0.036680296,0.07476837,0.0008449733
7.9535704,1774.2438,3833.249,10267.695,2.5435977,1.8091476,66.0,0.948066,14.58303,61.309563,0.04014101,0.00087962137,-0.006589341,0.0017329927,-0.04135293,-0.036873333,0.07481895,0.00082309294
7.9671373,1769.72,3836.3406,10273.813,2.541747,1.8174865,67.0,0.9483315,14.59673,61.368313,0.0399988,0.0010030159,-0.006520557,0.0016835156,-0.04148771,-0.037068613,0.074886136,0.0008094086
7.980464,1765.321,3838.91,10279.9375,2.5399837,1.8257097,68.0,0.9485856,14.610084,61.42555,0.039873105,0.001109041,-0.0064409543,0.0016397169,-0.04161734,-0.03726464,0.07496857,0.0008007762
7.993555,1761.0449,3840.989,10286.065,2.5383081,1.8338195,69.0,0.94882923,14.623132,61.481346,0.039763436,0.0012015032,-0.0063492367,0.0016005405,-0.04174347,-0.037462194,0.07506575,0.0007993638
8.006406,1756.8894,3842.6091,10292.196,2.5367196,1.8418182,70.0,0.9490626,14.635867,61.53581,0.03966778,0.001280898,-0.006248936,0.0015664406,-0.04186517,-0.03766049,0.07517611,0.00080395694
8.019023,1752.8517,3843.7996,10298.329,2.5352175,1.8497081,71.0,0.94928616,14.648314,61.58892,0.039584555,0.0013465707,-0.006137158,0.0015366815,-0.041982837,-0.03785962,0.075299114,0.0008143364
8.031408,1748.9288,3844.5881,10304.463,2.5338004,1.8574913,72.0,0.9495006,14.660474,61.640804,0.039512448,0.0014001587,-0.0060187997,0.0015109653,-0.042097546,-0.03805932,0.07543357,0.0008291344
8.043562,1745.1177,3845.0015,10310.597,2.5324664,1.86517,73.0,0.94970614,14.672375,61.69146,0.03945109,0.0014440815,-0.005890645,0.0014872168,-0.042208906,-0.038259942,0.07557965,0.00084962824
8.055489,1741.415,3845.0645,10316.7295,2.5312138,1.8727465,74.0,0.94990325,14.684015,61.74097,0.0393983,0.0014763526,-0.0057554906,0.0014678779,-0.042316366,-0.038461145,0.07573507,0.00087523786
8.06719,1737.8173,3844.8013,10322.86,2.5300403,1.8802227,75.0,0.95009226,14.695384,61.789345,0.039354794,0.0014986028,-0.005613338,0.0014508177,-0.042420514,-0.03866221,0.07590045,0.00090476463
8.0786705,1734.3207,3844.2341,10328.989,2.528943,1.8876007,76.0,0.9502737,14.706542,61.836678,0.039318237,0.0015128821,-0.0054646004,0.0014358239,-0.04252061,-0.03886352,0.0760741,0.00093881006
8.0899315,1730.9216,3843.3845,10335.113,2.5279198,1.8948823,77.0,0.95044774,14.717455,61.882965,0.03928855,0.0015189333,-0.0053088786,0.0014233321,-0.04261798,-0.039064538,0.07625547,0.00097586797
8.100976,1727.6165,3842.2725,10341.233,2.526967,1.9020698,78.0,0.9506147,14.7281475,61.928284,0.03926467,0.0015171205,-0.0051493887,0.0014126386,-0.042712588,-0.039266367,0.076445185,0.001018444
8.111807,1724.4012,3840.9172,10347.349,2.5260823,1.9091648,79.0,0.9507749,14.738629,61.972626,0.039245553,0.0015063218,-0.0049839644,0.0014035138,-0.042804036,-0.039467186,0.07664158,0.0010633491
8.122429,1721.2723,3839.3364,10353.459,2.525262,1.9161693,80.0,0.9509287,14.748897,62.016052,0.039231487,0.0014907978,-0.004812767,0.0013962968,-0.04289255,-0.039668486,0.076843604,0.001111718
8.132844,1718.2258,3837.5469,10359.563,2.5245035,1.9230849,81.0,0.9510763,14.758978,62.058624,0.039221156,0.0014693832,-0.0046391794,0.0013904345,-0.042978898,-0.03986876,0.07705231,0.0011636082
8.143054,1715.2579,3835.5642,10365.661,2.5238032,1.9299133,82.0,0.951218,14.768865,62.100277,0.039214194,0.0014414703,-0.004460457,0.0013856697,-0.04306158,-0.040069275,0.07726625,0.0012173443
8.153065,1712.365,3833.4033,10371.752,2.523158,1.9366562,83.0,0.951354,14.778563,62.14114,0.03921018,0.0014081439,-0.0042791516,0.0013815591,-0.043142974,-0.04026924,0.07748565,0.0012743165
8.16288,1709.5433,3831.0784,10377.836,2.5225644,1.9433153,84.0,0.9514847,14.788076,62.181202,0.039208706,0.001370443,-0.004094418,0.001379276,-0.043220744,-0.040469266,0.07770924,0.0013339818
8.172499,1706.7894,3828.602,10383.912,2.5220191,1.949892,85.0,0.95160997,14.797429,62.220528,0.03921025,0.0013277368,-0.0039068726,0.0013773193,-0.04329689,-0.04066827,0.07793675,0.0013958954
8.181929,1704.0999,3825.9866,10389.9795,2.5215192,1.956388,86.0,0.9517303,14.8066,62.259033,0.039213277,0.001280755,-0.0037167761,0.0013765476,-0.043370612,-0.04086656,0.078169,0.0014608022
8.191171,1701.4711,3823.2432,10396.038,2.5210612,1.9628044,87.0,0.95184577,14.815603,62.296818,0.039218027,0.0012291032,-0.0035256976,0.0013765676,-0.043441378,-0.04106441,0.078404605,0.001526414
