k_t,M_1_t,M_2_t,M_3_t,tau_1_t,tau_2_t,t,x_t,E_t,V_t,lambda_k_t,lambda_m_1,lambda_m_2,lambda_m_3,lambda_tau_1,lambda_tau_2,lambda_t_BAU,lambda_E_t
11.6795,2445.8062,5485.291,10681.949,3.533681,2.5809488,94.0,0.46323952,13.278559,65.73832,0.92692214,0.0008159475,0.0077905045,-0.0040029013,-0.08424187,-0.08090349,0.34714094,-0.0031093692
11.690376,2441.627,5480.1685,10692.058,3.5331993,2.5917659,95.0,0.46311182,13.288046,65.78168,0.9281745,0.001012551,0.008360989,-0.004189155,-0.08446554,-0.081445515,0.3474853,-0.0034458933
11.700981,2437.5342,5474.891,10702.149,3.532773,2.6024547,96.0,0.4629868,13.297378,65.8243,0.9294068,0.0012062972,0.008929891,-0.0043738866,-0.08468381,-0.08198652,0.34782276,-0.0037775056
11.711324,2433.523,5469.472,10712.226,3.5323973,2.6130173,97.0,0.46286428,13.306575,65.86622,0.93062,0.0013960461,0.009493582,-0.0045579355,-0.08489791,-0.082525365,0.34815216,-0.004103962
11.721409,2429.5881,5463.925,10722.284,3.5320675,2.6234558,98.0,0.46274424,13.315617,65.907364,0.9318127,0.001582738,0.010054323,-0.004740899,-0.08510605,-0.08306307,0.34847572,-0.0044259573
11.731246,2425.725,5458.261,10732.326,3.5317788,2.6337721,99.0,0.46262646,13.324535,65.94784,0.93298686,0.0017650358,0.010611229,-0.0049237804,-0.0853089,-0.08359953,0.348792,-0.004743784
11.740841,2421.929,5452.4927,10742.35,3.5315266,2.643968,100.0,0.46251094,13.333315,65.98767,0.9341426,0.0019438469,0.0111632245,-0.0051059835,-0.08550702,-0.08413338,0.34910193,-0.005058847
11.750197,2418.196,5446.629,10752.355,3.5313067,2.6540453,101.0,0.4623974,13.341961,66.02685,0.9352792,0.0021202583,0.011710308,-0.0052868454,-0.08570004,-0.08466551,0.34940597,-0.0053678593
11.759323,2414.5217,5440.679,10762.343,3.5311146,2.6640055,102.0,0.46228594,13.350469,66.06532,0.9363995,0.0022922931,0.0122542,-0.0054670013,-0.085888304,-0.0851962,0.3497034,-0.00567408
11.768224,2410.9023,5434.653,10772.3125,3.5309465,2.6738505,103.0,0.46218,13.358894,66.10318,0.9375048,0.002497192,0.012817872,-0.005659165,-0.08607383,-0.085714065,0.3499812,-0.0059600724
11.776899,2407.3345,5428.557,10782.264,3.5307987,2.6835818,104.0,0.46208006,13.367219,66.14035,0.93860084,0.0027438197,0.013404634,-0.005866954,-0.08625478,-0.08621752,0.35023755,-0.006222408
11.785353,2403.8147,5422.3994,10792.196,3.5306675,2.693201,105.0,0.46198222,13.375425,66.176926,0.9396765,0.0029883822,0.013989498,-0.0060740886,-0.08643087,-0.08671816,0.3504866,-0.006479801
11.793594,2400.3398,5416.187,10802.109,3.53055,2.7027097,106.0,0.46188596,13.383508,66.212875,0.94073606,0.0032307762,0.014568665,-0.0062804436,-0.08660267,-0.08721777,0.35072982,-0.006733098
11.801632,2396.907,5409.926,10812.004,3.5304427,2.7121089,107.0,0.4617916,13.391471,66.24826,0.9417787,0.0034704765,0.015144657,-0.0064861574,-0.086770006,-0.08771278,0.35096762,-0.006982143
